card_id,batting_ratings_vsr_babip,batting_ratings_vsr_gap,batting_ratings_vsr_power,batting_ratings_vsr_eye,batting_ratings_vsr_strikeouts,card_title,running_ratings_speed,batting_ratings_misc_gb_hitter_type_0,batting_ratings_misc_gb_hitter_type_1,batting_ratings_misc_gb_hitter_type_2,batting_ratings_misc_gb_hitter_type_3,batting_ratings_misc_fb_hitter_type_0,batting_ratings_misc_fb_hitter_type_1,batting_ratings_misc_fb_hitter_type_2,bats_1,bats_2,bats_3,bb_vsr,k_vsr,hr_vsr,s_vsr,d_vsr,t_vsr,bb,k,hr,tto,s,d,t,avg,obp,slg,woba
19836,83.15320990480114,73.95693964539372,38.632165243513676,105.70762589774914,70.72096962459761,Unsung Heroes CF Billy Zitzmann CIN 1927,130,0,0,0,0,0,0,0,1,0,0,0.07107276327492273,0.3056497850540455,0.008220027769810394,0.23068391259976317,0.0601281869520159,0.007157657492874358,43.0,183.0,5.0,231.0,85.0,22.0,3.0,0.20646319569120286,0.2633333333333333,0.2836624775583483,0.255795
19837,12.1741041596446,27.89289898859637,126.42375035012628,105.70762589774914,103.1821725374301,Unsung Heroes 3B Eddie Zimmerman BRO 1911,168,0,0,0,0,0,0,0,1,0,0,0.07400000091581876,0.24609132481754337,0.031047192366140716,0.15846479855800236,0.02095642884427845,0.005062412529953657,44.0,148.0,19.0,211.0,62.0,8.0,2.0,0.16366906474820145,0.225,0.28776978417266186,0.23889333333333332
19839,91.57445973897227,21.53923820834845,70.40435794876396,86.61312971373853,79.0681360878974,Unsung Heroes LF Joe Zdeb KC 1977,120,0,0,0,0,0,0,0,1,0,0,0.0582993871328896,0.28897486367055514,0.014236123864031957,0.2591716974815861,0.039494350254483314,0.004154538241312088,35.0,173.0,9.0,217.0,99.0,15.0,2.0,0.22123893805309736,0.26666666666666666,0.30265486725663715,0.26402333333333333
19846,39.84392504334969,99.37158276638537,93.8154473105273,82.12030708220662,57.736488459464624,Unsung Heroes RF Ab Wright CLE 1935,87,0,0,0,0,0,0,0,1,0,0,0.05550729879047285,0.34480252043357784,0.01995663720753866,0.16623061800139888,0.06443225538544133,0.004179959293474192,33.0,207.0,12.0,252.0,58.0,22.0,1.0,0.164021164021164,0.21,0.2698412698412698,0.22229166666666667
19847,23.001425375007457,8.831916647852623,133.1126330249158,93.35236366103639,84.63291373009726,Unsung Heroes SS Chuck Wortman CHC 1916,146,0,0,0,0,0,0,0,1,0,0,0.061919093862043334,0.2697092041851913,0.033831082403100204,0.1764782436800959,0.018691824723702146,0.003813165678487926,37.0,162.0,20.0,219.0,67.0,7.0,1.0,0.16873889875666073,0.22,0.2912966252220249,0.2368516666666667
19848,71.1228529988424,34.24655976884428,58.69881326788227,93.35236366103639,90.19769137229711,Unsung Heroes CF Junior Wooten WSA 1948,37,0,0,0,0,0,0,0,1,0,0,0.06184702695268227,0.26088825686134376,0.011838496842695442,0.22907467752809274,0.046289211895728044,0.0017398395075277921,37.0,157.0,7.0,201.0,91.0,18.0,1.0,0.20781527531083482,0.25666666666666665,0.28063943161634103,0.2507316666666667
19849,59.09249609288367,40.600220549092185,100.50432998531684,73.1346618191428,67.01111786313105,Unsung Heroes RF Roy Wood CLE 1914,146,0,0,0,0,0,0,0,1,0,0,0.050218446023880904,0.32194117587722326,0.02181221455076445,0.2113239462137615,0.03994101156749523,0.005885156169471438,30.0,193.0,13.0,236.0,77.0,15.0,2.0,0.18771929824561404,0.22833333333333333,0.2894736842105263,0.2388533333333333
19850,47.06213918692494,127.96305627750097,139.80151569970533,107.9540372135151,52.17171081726477,Unsung Heroes RF Ken Wood SLA 1950,35,0,0,0,0,0,0,0,1,0,0,0.07559725444406107,0.3516181559174065,0.03732892607332644,0.16368600868185426,0.08287060550802816,0.002380637225294668,45.0,211.0,22.0,278.0,53.0,27.0,1.0,0.18558558558558558,0.24666666666666667,0.3567567567567568,0.27597166666666667
19855,21.79838968441159,24.716068598472404,100.50432998531684,82.12030708220662,110.60187606036325,Unsung Heroes 2B Enrique Wilson NYY 2004,51,0,0,0,0,0,0,0,0,0,1,0.05755283387036609,0.24650784662353942,0.02267001606696819,0.16952141406461205,0.029267537136065516,0.0015119771092776972,35.0,148.0,14.0,197.0,68.0,12.0,1.0,0.168141592920354,0.21666666666666667,0.2672566371681416,0.2252916666666667
19862,63.904638855267166,40.600220549092185,95.4876679792247,130.41815037117462,50.316784936531484,Unsung Heroes LF Butch Weis CHC 1925,112,0,0,0,0,0,0,0,0,1,0,0.10265832603507728,0.3636255931305178,0.019117271645578967,0.2088940447929004,0.041522649276063056,0.0050561441669856105,62.0,218.0,11.0,291.0,65.0,13.0,2.0,0.1691449814126394,0.255,0.2620817843866171,0.24697333333333332
